"code8","commonName","object","krugerCode","scientificName","genus","specEpith","subSp","class","order","family","adult_mass_g","brain_mass_g","adult_body_length_mm","adult_forearm_length_mm","max_longevity_d","maturity_d","female_maturity_d","male_maturity_d","age_first_reproduction_d","gestation_length_d","teat_number_n","litter_size_n","litters_per_year_n","interbirth_interval_d","neonate_mass_g","weaning_age_d","weaning_mass_g","generation_length_d","dispersal_km","density_n_km2","hibernation_torpor","fossoriality","home_range_km2","social_group_n","det_invert","det_mamsBirds","det_reptAmph","det_fish","det_vertUnkn","det_scav","det_fruit","det_nect","det_seed","det_plantother","det_mastSoft","det_mastHard","det_mastConifers","det_mastPods","det_mastSamaras","foraging_stratum","activity_cycle","freshwater","marine","terrestrial","aerial","upper_elevation_m","lower_elevation_m","altitude_breadth_m","island_dwelling","island_endemicity","disected_by_mountains","glaciation","biogeographical_realm","habitat_breadth_n","TEE_kcal_d","logBodyMass"
"otomysOccident","","","","Otomys occidentalis","Otomys","occidentalis","","mammal","Rodentia","Muridae",72.8,1.259,169.721,NA,878.707,NA,87.042,NA,121.376,34.262,NA,2.416,3.776,42.911,NA,19.917,NA,617.325,0.251,NA,0,1,NA,NA,0,0,0,0,0,0,10,0,10,80,NA,NA,NA,NA,NA,"graze",2,0,0,1,0,NA,NA,NA,NA,"mainland",NA,NA,"Afrotropical",1,30.55315673,1.86213137931304
"otomysDartmout","","","","Otomys dartmouthi","Otomys","dartmouthi","","mammal","Rodentia","Muridae",100,1.556,217,NA,740.435,91.24,91.24,NA,124.452,37.84,NA,1.6,5,47.603,12.5,16.907,NA,643.221,0.299,NA,0,1,NA,NA,0,0,0,0,0,0,10,0,10,80,NA,NA,NA,NA,NA,"graze",2,0,0,1,0,4400,3300,1100,NA,NA,NA,NA,"Afrotropical",1,38.55671276,2
"otomysLaminatu","","","","Otomys laminatus","Otomys","laminatus","","mammal","Rodentia","Muridae",130.65,1.587,190.24,NA,669.167,97.884,97.884,NA,137.927,40.043,NA,1.715,4,46.405,13.96,12.872,30,634.795,0.346,NA,0,1,NA,NA,0,0,0,0,0,0,10,0,10,80,NA,NA,NA,NA,NA,"graze",2,1,0,1,0,2000,0,2000,0,"mainland",0,0,"Afrotropical",2,46.90256452,2.11610941406334
"otomysCuanzens","","","","Otomys cuanzensis","Otomys","cuanzensis","","mammal","Rodentia","Muridae",130.65,1.406,172.965,NA,669.167,82.177,82.177,NA,122.221,40.043,NA,2.86,4,42.217,13.96,12.96,30,622.166,0.346,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"graze",2,0,0,1,0,2500,1000,1500,NA,"mainland",NA,NA,"Afrotropical",2,46.90256452,2.11610941406334
"otomysDenti","","","","Otomys denti","Otomys","denti","","mammal","Rodentia","Muridae",120,1.782,217,NA,814.164,NA,99.275,NA,137.594,38.529,NA,1.69,4.198,49.803,20,17.589,NA,647.392,0.33,NA,0,1,NA,NA,0,0,0,0,0,0,10,0,10,80,NA,NA,NA,NA,NA,"graze",2,0,0,1,0,3000,1950,1050,0,"mainland",1,0,"Afrotropical",3,44.06887209,2.07918124604762
"otomysDenti","","","","Otomys denti","Otomys","denti","","mammal","Rodentia","Muridae",120,1.782,217,NA,814.164,NA,99.275,NA,137.594,38.529,NA,1.69,4.198,49.803,20,17.589,NA,647.392,0.33,NA,0,1,NA,NA,0,0,0,0,0,0,10,0,10,80,NA,NA,NA,NA,NA,"graze",2,0,0,1,0,3000,1950,1050,0,"mainland",1,0,"Afrotropical",3,44.06887209,2.07918124604762
"otomysDenti","","","","Otomys denti","Otomys","denti","","mammal","Rodentia","Muridae",120,1.782,217,NA,814.164,NA,99.275,NA,137.594,38.529,NA,1.69,4.198,49.803,20,17.589,NA,647.392,0.33,NA,0,1,NA,NA,0,0,0,0,0,0,10,0,10,80,NA,NA,NA,NA,NA,"graze",2,0,0,1,0,3000,1950,1050,0,"mainland",1,0,"Afrotropical",3,44.06887209,2.07918124604762
"otomysAnchieta","","","","Otomys anchietae","Otomys","anchietae","","mammal","Rodentia","Muridae",114.45,1.397,190.24,NA,669.167,97.884,97.884,NA,137.927,40.043,NA,1.715,4,45.967,13.96,12.872,30,646.796,0.322,NA,0,1,NA,NA,0,0,0,0,0,0,10,0,10,80,NA,NA,NA,NA,NA,"graze",2,0,0,1,0,2000,NA,NA,NA,"mainland",NA,NA,"Afrotropical",1,42.5656743,2.05861579701056
"otomysAngonien","","","","Otomys angoniensis","Otomys","angoniensis","","mammal","Rodentia","Muridae",122.55,0.42,168.222,NA,669.167,59.86,82.177,NA,122.221,40.043,4,2.59,4,41.651,13.96,12.96,30,597.722,0.334,15,0,1,NA,1,0,0,0,0,0,0,10,0,10,80,NA,NA,NA,NA,NA,"graze",2,0,0,1,0,NA,NA,NA,0,"mainland",1,0,"Afrotropical",2,44.75327572,2.0883133155881
"parotomyLittleda","","","","Parotomys littledalei","Parotomys","littledalei","","mammal","Rodentia","Muridae",126.99,2.258,190.345,NA,794.969,NA,101.059,NA,137.299,35.331,NA,2.91,3.281,46.569,NA,23.704,NA,643.443,0.341,NA,0,1,NA,NA,0,0,0,0,0,0,0,0,30,70,NA,NA,NA,NA,NA,"graze",3,0,0,1,0,1500,0,1500,0,"mainland",0,0,"Afrotropical",2,45.935948,2.10376952319367
"parotomyBrantsii","","","","Parotomys brantsii","Parotomys","brantsii","","mammal","Rodentia","Muridae",120,1.491,170,NA,182.5,39.68,81.777,NA,119.337,37.56,4,2.04,3,45.901,NA,27.246,NA,650.547,0.33,NA,0,1,NA,1,0,0,0,0,0,0,0,0,30,70,NA,NA,NA,NA,NA,"graze",3,0,0,1,0,1000,0,1000,0,"mainland",0,0,"Afrotropical",2,44.06887209,2.07918124604762
"oenomysOrnatus","","","","Oenomys ornatus","Oenomys","ornatus","","mammal","Rodentia","Muridae",85.5,1.397,220,NA,848.625,116.765,116.765,NA,143.277,26.844,NA,3.365,3.43,44.549,NA,30.218,30,616.08,0.274,NA,0,1,NA,NA,20,0,0,0,0,0,0,0,0,80,NA,NA,NA,NA,NA,"graze",2,0,0,1,0,NA,NA,NA,0,"mainland",0,0,"Afrotropical",2,34.37462472,1.93196611472817
"oenomysHypoxant","","","","Oenomys hypoxanthus","Oenomys","hypoxanthus","","mammal","Rodentia","Muridae",87.67,1.19,220,NA,848.625,116.96,116.765,NA,140.604,26.954,NA,3.365,3.7,44.332,NA,30.218,30,615.067,0.278,3737.96,0,2,NA,NA,20,0,0,0,0,0,0,0,0,80,NA,NA,NA,NA,NA,"graze",2,0,0,1,0,3000,NA,NA,0,"mainland",1,0,"Afrotropical",2,35.01188576,1.94285100655434
"hybomysTrivirga","","","","Hybomys trivirgatus","Hybomys","trivirgatus","","mammal","Rodentia","Muridae",60.08,1.1,140.86,NA,1108.625,NA,99.72,NA,133.388,29.113,NA,2.72,3.257,44.11,NA,25.83,NA,603.711,0.226,80.6,0,1,NA,NA,40,0,0,0,0,0,40,0,0,20,NA,NA,NA,NA,NA,"graze",2,0,0,1,0,NA,NA,NA,0,"mainland",0,0,"Afrotropical",1,26.54184822,1.77872992399611
"hybomysPlanifro","","","","Hybomys planifrons","Hybomys","planifrons","","mammal","Rodentia","Muridae",51.8,1.075,150,NA,1247.068,80.304,80.304,NA,110.522,30.218,NA,2.4,3.641,37.071,4.4,25.818,NA,578.924,0.208,NA,0,1,NA,NA,40,0,0,0,0,0,40,0,0,20,NA,NA,NA,NA,NA,"graze",2,0,0,1,0,2250,0,2250,0,"mainland",0,0,"Afrotropical",1,23.80851351,1.71432975974523
"hybomysBadius","","","","Hybomys badius","Hybomys","badius","","mammal","Rodentia","Muridae",53.13,1.077,150,NA,1246.822,80.304,80.304,NA,110.522,30.218,NA,2.4,3.629,37.127,4.4,25.642,NA,581.258,0.211,NA,0,1,NA,NA,40,0,0,0,0,0,40,0,0,20,NA,NA,NA,NA,NA,"graze",3,0,0,1,0,NA,NA,NA,NA,"mainland",NA,NA,"Afrotropical",NA,24.2550152,1.72533981590974
"hybomysBasilii","","","","Hybomys basilii","Hybomys","basilii","","mammal","Rodentia","Muridae",53.13,1.078,150,NA,1245.438,80.304,80.304,NA,110.522,30.218,NA,2.4,3.629,37.074,4.4,25.605,NA,582.097,0.211,NA,0,1,NA,NA,40,0,0,0,0,0,40,0,0,20,NA,NA,NA,NA,NA,"graze",3,0,0,1,0,NA,NA,NA,NA,"large islands",NA,NA,"Afrotropical",1,24.2550152,1.72533981590974
"hybomysUnivitta","","","","Hybomys univittatus","Hybomys","univittatus","","mammal","Rodentia","Muridae",53.13,1.07,150,NA,1244.984,71.43,80.304,NA,110.522,30.218,NA,2.4,3.621,37.191,4.4,25.669,NA,580.895,0.211,NA,0,1,0.002,NA,40,0,0,0,0,0,40,0,0,20,NA,NA,NA,NA,NA,"graze",3,0,0,1,0,2500,NA,NA,0,"mainland",1,0,"Afrotropical",1,24.2550152,1.72533981590974
"hybomysLunaris","","","","Hybomys lunaris","Hybomys","lunaris","","mammal","Rodentia","Muridae",53.13,1.072,150,NA,1262.542,80.304,80.304,NA,110.522,30.218,NA,2.4,3.653,37.019,4.4,25.574,NA,590.972,0.211,NA,0,1,NA,NA,40,0,0,0,0,0,40,0,0,20,NA,NA,NA,NA,NA,"graze",3,0,0,1,0,2700,1500,1200,NA,"mainland",NA,NA,"Afrotropical",1,24.2550152,1.72533981590974
